0   DK Cecil
1   Kain
2   Child Rydia
3   Tellah
4   Edward
5   Rosa
6   Yang
7   Palom
8   Porom
9   Paladin Cecil
10  Cid
11  Adult Rydia
12  Edge
13  FuSoYa
14  Midget
15  Frog
16  Pig
17  Man
18  Woman
19  Dancer
20  Old Man
21  Old Woman
22  Boy
23  Girl
24  Soldier
25  Bearded Man
26  Scholar
27  Black Mage
28  White Mage
29  Engineer
30  Chocobo
31	 Monk
32  Captain
33  Bomb
34  Hooded monster
35  Namingway
36  Golbez
37  King
38  Elder
39  Cleric
40  Dwarf
41  Calbrena
42  Giott
43  Luge
44  Luca
45  Golbez's hand
46  Cecil & Rosa kissing
47  crystal
48  heart bubble
49  fire
50  sleeping bubble
51  Yang's wife (waving)
52  Yang's wife (downcast)
53  Edward (playing harp)
54  water splash
55  Masamune
56  Dancer in Dress
57  Legendary Sword
58  Rosa (tied-up/sick)
59  Rubicant
60  sparkle
61  Elder praying
62  Black Mage praying
63  Zemus (fallen)
64  White Mage praying
65  Sylph
66  Zeromus' flame
67	 Kain (hair blowing in wind)
68  lightning
69  teleportation
70  Fat Chocobo (top left)
71  Fat Chocobo (top right)
72  Fat Chocobo (bottom left)
73  Fat Chocobo (bottom right)
74  Namingway (top left)
75  Namingway (top right)
76  Namingway (bottom left)
77  Namingway (bottom right)
78  Valvalis
79  Dancer's leg in water
80  Queen
81  Zemus
82  Octomamm's tentacles
83  Magus Sister
84  Dark Elf
85  Bahamut
86  Kainazzo
87  dress?
88  ice wall
89  White Spear
90  Woman lying down
91  death ball
92  mist?
93  double door
94  Fallen Soldier
95  Antlion's claw (left)
96  Antlion's claw (right)
97  Anna
98  Golbez (fallen)
99  Crystal Sword
100 Anna (fallen)
101 transparent
102 ice magic
103 flame top
104 flame bottom
105 Palom (stone)
106 Porom (stone)
