01: Kaipo Weapons
02: Fabul
03: Mysidia Weapons
04: Baron Weapons
05: Troia Weapons
06: Mythril Weapons
07: Dwarf Weapons
08: Eblan Weapons
09: Tomra Weapons
10: Kokkol Weapons
11: Kaipo Armor
12: Mysidia Armor
13: Baron Armor
14: Troia Armor
15: Mythril Armor
16: Dwarf Armor
17: Eblan Armor
18: Tomra Armor
19: Hummingway
20: Baron Items
21: Mysidia Items
22: Mythril Items
23: Mist Weapons
24: Mist Armor
25: Eblan Items
26: Dwarf Items
27: Agart Weapons
28: Agart Armor
29: Feymarch Weapons
30: Feymarch Armor
32: Troia Pass
33: Ninja Stars
